đéo hiểu, đéo thể, đéo phải, đéo, dell
xạo lồn, xàm lồn, xam lol, xàm l, nhãm lồn, nhãm lol, xàm le, xàm lol
vãi cả c, con cặc
đần độn, ngu ngốc, ngu suẩn, ngu người, ngu như chó, ngu như bò, ngu như heo, ngu như lợn, ngu hơn chó, ngu lol, ngu như lồn, ngu nl, ngu lone, ngu chó
óc chó, ocschos, óc lợn, óc bò
chịch, nện, xoạc
địt, đệt
dí buồi, đút đút buồi, dí cặc, đút cặc
tởm, kinh tởm, bệnh hoạn, ghê tởm, bịnh
cáu, cáu bửn, cáu bẩn, cáu gắt
bố mày, mẹ mày, ông mày, thằng ông mày, thằng bố mày
láo, bố láo, lếu láo, mất dạy, khốn nạn, mất nết
thằng ngu, con ngu, con điên, thằng điên, thằng ngu lồn
mày ngu, m ngu, mày đần, m đần
nhảm, nhảm nhí, xàm, xàm xí
súc vật, súc sinh, cục súc
cút, xéo, biến, phắn 
 sủa,  ẳng,  gáy
như cứt, như lồn
câm, khóa mỗm,  im, câm mồm, ngậm mồm, ngậm mồm chó
địt mẹ, đitme, lịt mẹ, đụ mẹ, đụ má, đụ m, đụ mạ, đm, đme, đmẹ, địt con mẹ, đcm, địt chị, địt bà
clm, clmm, clmn, đclm, dclm, cái lm
vếu, vú
con đĩ, con phò , con ca ve, con cave, con đỉ, loại đĩ, loại phò, gái đĩ, con bớp
lắm chuyện, nhiều chuyện
tội, chán
sợ, ghê, kinh
cáu, cay, bực, bực mình, khó chịu, ngứa mắt
ức chế, cay, cay dái
bê đê, gay lọ, bđê
 ngu,  đần
xúc phạm, khinh bỉ, sỉ nhục
cà khịa, mỉa mai
vl, vcl, vãi cả lol, vc lol, vca lồn, vãi cái lồn, vãi loz, vloz , cl
chó chết, chó đẻ
con chó, con lợn
dẻ rách, rác rưởi, cỏ rác
dơ bẩn, dơ , bẩn
con lợn, con chó
chở mặt, lật mặt, giở mặt
trẻ trâu, trẩu tre, trẩu
nhọ, đen
thằng chó, thằng lợn, thằng ngu